City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,agryz,56.5203,52.9942,3.77,78,9,5.02,RU,1701073718
329,lang son,21.8333,106.7333,27.78,41,41,2.49,VN,1701073718
330,padangsidempuan,1.3667,99.2667,26.92,76,100,1.76,ID,1701073718
331,ilhabela,-23.7781,-45.3581,22.2,90,100,2.49,BR,1701073543
332,dilling,12.05,29.65,31.84,16,4,5.21,SD,1701073719
333,warrenton,-28.114,24.8475,35.2,7,2,1.23,ZA,1701073719
334,nabire,-3.3667,135.4833,25.24,88,100,0.34,ID,1701073719
335,la foa,-21.7108,165.8276,24.57,68,99,2.15,NC,1701073719
336,taza,34.25,-3.75,11.02,65,8,3.35,MA,1701073544
337,saldanha,-33.0117,17.9442,26.03,72,5,6.56,ZA,1701073720
338,la'ie,21.6477,-157.9253,24.14,81,100,1.34,US,1701073545
339,ceerigaabo,10.6162,47.368,19.62,34,21,4.62,SO,1701073720
340,bengkulu,-3.8004,102.2655,26.46,79,100,2.82,ID,1701073721
341,brookings,44.3114,-96.7984,-9.34,79,100,3.6,US,1701073721
342,guarapari,-20.6667,-40.4975,21.05,88,100,0.78,BR,1701073721
343,mangrol,21.1167,70.1167,26.95,55,79,3.29,IN,1701073721
344,selfoss,63.9331,-20.9971,4.73,88,100,3.76,IS,1701073721
345,isabela,6.7085,121.9711,31.03,74,47,0.73,PH,1701073722
346,santo amaro da imperatriz,-27.6881,-48.7786,22.75,83,100,0.49,BR,1701073722
347,jianshui,23.6363,102.8264,22.39,45,32,1.72,CN,1701073722
348,luwuk,-0.9516,122.7875,28.55,80,69,0.8,ID,1701073621
349,tabou,4.423,-7.3528,25.77,88,28,2.19,CI,1701073722
350,bannur,12.3308,76.8631,29.51,51,23,4.69,IN,1701073723
351,nikolayevsk-on-amure,53.1406,140.73,-16.1,81,48,2.76,RU,1701073723
352,brisas de zicatela,15.8369,-97.0419,25.82,79,100,1.2,MX,1701073723
353,wulingyuan,29.3494,110.5441,20.41,51,0,1.06,CN,1701073723
354,el dorado,38.7666,-120.5177,5.92,72,0,1.34,US,1701073548
355,kalix,65.853,23.1565,-14.97,97,61,4.75,SE,1701073724
356,turpan,42.9333,89.1667,10.63,22,6,1.06,CN,1701073548
357,sillod,20.3,75.65,23.31,73,94,2.85,IN,1701073724
358,aoulef,26.9667,1.0833,17.69,31,0,1.78,DZ,1701073725
359,alexandria,31.2156,29.9553,19.28,53,99,8.38,EG,1701073725
360,kidal,18.4411,1.4078,23.45,11,100,2.95,ML,1701073725
361,muravlenko,63.7898,74.523,-11.7,94,100,2.51,RU,1701073726
